,Keywords,Occurences
4878, Donald Trump,247
16333, RT,1833
18180, RT Bannon Flynn Trump secure N Korea Rs,680
18810, RT BraddJaffy Busta Trump President Agent Orange Muslim,535
18836, RT BraddJaffy Trump 4th,348
18957, RT Breznican Trump Stephen Miller,486
19665, RT Canadian PM Trudeau,526
20074, RT ChrisMurphyCT Trump RonWyden w,755
20603, RT DC President Trump US Israel strong,396
21817, RT Donald Trump authoritarian,354
22666, RT Evan_McMullin curious Trump imaginary foreign,350
23431, RT FullFrontalSamB Trudeau next Trump French closest Canada fuck,504
23748, RT GeorgeTakei President Trump Miller Travel Ban,260
23761, RT GeorgeTakei Trump official,202
24847, RT IMPL0RABLE,265
28422, RT Make America Great Again Dress Designer Andre Soriano Filipino Huge Trump Supporter Grammys,235
28500, RT Mar-a-Lago Trump official,457
28851, RT McJesse Ceelo Green Trump,4165
29252, RT Mikel_Jollett TRUMP weird,241
30652, RT Nysteveo2AOLcom Trump Kate McKinnens Jeff Sessions Please,702
31829, RT President Bush pathological conservative Trump,1372
33688, RT SarahMaslinNir Trump Trump Towers America,213
33954, RT Senior NSA Trump due White House Kremlin,222
34182, RT Singer Joy Villa Trump Grammys,851
34615, RT Stephen Miller NOT BE QUESTIONED Heil Trump,276
36369, RT Trump,1164
37791, RT Trump official,495
37931, RT Trump total Wall Street Goldman Sachs,358
39245, RT WeThePeople Trump Tribe,214
39887, RT beat Lemonade Trump,317
39912, RT big,203
39967, RT call N. Korea Mar-a-Lago public,467
45230, Trump,1193
51626, YouTube,320
