,Sentiment,Counts
21,-4.0,9
22,-3.95,2
23,-3.9,10
24,-3.85,120
25,-3.8,2
26,-3.75,32
27,-3.7,4
28,-3.65,36
29,-3.6,35
30,-3.55,4
31,-3.5,23
32,-3.45,19
33,-3.4,25
34,-3.35,228
35,-3.3,6
36,-3.25,47
37,-3.2,19
38,-3.15,12
39,-3.1,208
40,-3.05,41
41,-3.0,53
42,-2.95,58
43,-2.9,48
44,-2.85,406
45,-2.8,18
46,-2.75,151
47,-2.7,483
48,-2.65,54
49,-2.6,460
50,-2.55,31
51,-2.5,133
52,-2.45,93
53,-2.4,138
54,-2.35,586
55,-2.3,221
56,-2.25,134
57,-2.2,204
58,-2.15,144
59,-2.1,978
60,-2.05,79
61,-2.0,421
62,-1.95,217
63,-1.9,225
64,-1.85,1787
65,-1.8,233
66,-1.75,562
67,-1.7,765
68,-1.65,434
69,-1.6,3730
70,-1.55,141
71,-1.5,1178
72,-1.45,575
73,-1.4,589
74,-1.35,2693
75,-1.3,664
76,-1.25,1242
77,-1.2,901
78,-1.15,621
79,-1.1,4798
80,-1.05,204
81,-1.0,2505
82,-0.95,803
83,-0.9,2530
84,-0.85,6908
85,-0.8,668
86,-0.75,2546
87,-0.7,2726
88,-0.65,476
89,-0.6,11542
90,-0.55,546
91,-0.5,5560
92,-0.45,1123
93,-0.4,916
94,-0.35,5193
95,-0.3,1403
96,-0.25,2558
97,-0.2,1619
98,-0.15,821
99,-0.1,20620
100,-0.0999999999999999,1
101,-0.0500000000000001,61
102,-0.05,785
103,-0.0499999999999999,8
104,-5.55111512312578e-17,1
105,-2.77555756156289e-17,865
106,0.0,6196
107,2.77555756156289e-17,2
108,8.32667268468867e-17,17
109,0.0499999999999999,6
110,0.05,958
111,0.1,1075
112,0.15,4348
113,0.2,1179
114,0.25,1754
115,0.3,3806
116,0.35,547
117,0.4,6585
118,0.45,703
119,0.5,3714
120,0.55,800
121,0.6,1015
122,0.65,4378
123,0.7,4289
124,0.75,1299
125,0.8,1965
126,0.85,330
127,0.9,2701
128,0.95,1587
129,1.0,1317
130,1.05,482
131,1.1,2861
132,1.15,1628
133,1.2,762
134,1.25,1694
135,1.3,803
136,1.35,275
137,1.4,1071
138,1.45,575
139,1.5,983
140,1.55,263
141,1.6,184
142,1.65,484
143,1.7,329
144,1.75,180
145,1.8,241
146,1.85,108
147,1.9,282
148,1.95,252
149,2.0,352
150,2.05,161
151,2.1,70
152,2.15,202
153,2.2,124
154,2.25,121
155,2.3,58
156,2.35,78
157,2.4,230
158,2.45,100
159,2.5,55
160,2.55,26
161,2.6,23
162,2.65,26
163,2.7,24
164,2.75,20
165,2.8,15
166,2.85,11
167,2.9,13
168,2.95,20
169,3.0,11
170,3.05,5
171,3.1,9
172,3.15,8
173,3.2,95
174,3.25,3
175,3.3,1
176,3.35,1
177,3.4,59
178,3.45,10
179,3.5,4
180,3.6,1
181,3.65,2
182,3.7,2
183,3.75,1
184,3.8,3
185,3.9,2
186,3.95,1
187,4.0,1
