,Sentiment,Counts
0,-5.45,1
1,-5.1,3
2,-4.95,4
3,-4.85,1
4,-4.6,3
5,-4.5,73
6,-4.45,3
7,-4.35,4
8,-4.3,3
9,-4.25,3
10,-4.2,4
11,-4.15,2
12,-4.1,44
13,-4.05,3
14,-4.0,2
15,-3.95,5
16,-3.85,15
17,-3.8,1
18,-3.75,15
19,-3.7,5
20,-3.65,7
21,-3.6,47
22,-3.55,5
23,-3.5,47
24,-3.45,9
25,-3.4,20
26,-3.35,124
27,-3.3,4
28,-3.25,20
29,-3.2,59
30,-3.15,68
31,-3.1,227
32,-3.05,13
33,-3.0,59
34,-2.95,56
35,-2.9,34
36,-2.85,182
37,-2.8,32
38,-2.75,76
39,-2.7,281
40,-2.65,73
41,-2.6,503
42,-2.55,64
43,-2.5,158
44,-2.45,132
45,-2.4,179
46,-2.35,654
47,-2.3,50
48,-2.25,373
49,-2.2,268
50,-2.15,189
51,-2.1,1649
52,-2.05,160
53,-2.0,506
54,-1.95,505
55,-1.9,640
56,-1.85,1513
57,-1.8,199
58,-1.75,616
59,-1.7,822
60,-1.65,379
61,-1.6,2847
62,-1.55,132
63,-1.5,1831
64,-1.45,839
65,-1.4,996
66,-1.35,2894
67,-1.3,734
68,-1.25,1241
69,-1.2,1762
70,-1.15,635
71,-1.1,8506
72,-1.05,411
73,-1.0,2215
74,-0.95,892
75,-0.9,1619
76,-0.85,7574
77,-0.8,1044
78,-0.75,3670
79,-0.7,4382
80,-0.65,944
81,-0.6,12006
82,-0.55,459
83,-0.5,4193
84,-0.45,1268
85,-0.4,1496
86,-0.35,7119
87,-0.3,1338
88,-0.25,2643
89,-0.2,3329
90,-0.15,690
91,-0.1,27632
92,-0.0999999999999999,2
93,-0.0500000000000001,46
94,-0.05,669
95,-0.0499999999999999,334
96,-5.55111512312578e-17,2
97,-2.77555756156289e-17,1402
98,0.0,6971
99,2.77555756156289e-17,4
100,5.55111512312578e-17,4
101,8.32667268468867e-17,21
102,1.11022302462516e-16,6
103,0.0499999999999999,4
104,0.05,1468
105,0.0500000000000001,1
106,0.1,1553
107,0.15,5095
108,0.2,1372
109,0.25,2320
110,0.3,4368
111,0.35,488
112,0.4,5854
113,0.45,976
114,0.5,4430
115,0.55,1079
116,0.6,2220
117,0.65,3671
118,0.7,2704
119,0.75,1430
120,0.8,1992
121,0.85,479
122,0.9,3287
123,0.95,640
124,1.0,2171
125,1.05,571
126,1.1,571
127,1.15,2412
128,1.2,977
129,1.25,658
130,1.3,738
131,1.35,248
132,1.4,772
133,1.45,436
134,1.5,1170
135,1.55,227
136,1.6,201
137,1.65,601
138,1.7,435
139,1.75,126
140,1.8,253
141,1.85,138
142,1.9,185
143,1.95,191
144,2.0,155
145,2.05,73
146,2.1,69
147,2.15,61
148,2.2,59
149,2.25,90
150,2.3,65
151,2.35,14
152,2.4,119
153,2.45,23
154,2.5,110
155,2.55,10
156,2.6,104
157,2.65,33
158,2.7,12
159,2.75,15
160,2.8,14
161,2.85,10
162,2.9,12
163,2.95,26
164,3.0,6
165,3.05,4
166,3.1,6
167,3.15,5
168,3.2,4
169,3.25,3
170,3.3,4
171,3.35,1
172,3.4,1
173,3.45,16
174,3.5,1
175,3.55,3
176,3.6,2
177,3.65,2
178,3.7,1
179,3.8,1
180,3.85,4
181,4.0,1
182,4.05,1
183,4.25,1
184,4.6,1
185,4.65,1
186,5.1,2
