,Sentiment,Counts
18,-4.0,3
19,-3.95,5
20,-3.9,7
21,-3.85,12
22,-3.8,5
23,-3.75,17
24,-3.7,4
25,-3.65,6
26,-3.6,60
27,-3.55,3
28,-3.5,20
29,-3.45,9
30,-3.4,47
31,-3.35,116
32,-3.3,5
33,-3.25,12
34,-3.2,29
35,-3.15,20
36,-3.1,271
37,-3.05,45
38,-3.0,74
39,-2.95,72
40,-2.9,28
41,-2.85,148
42,-2.8,39
43,-2.75,443
44,-2.7,230
45,-2.65,43
46,-2.6,243
47,-2.55,37
48,-2.5,269
49,-2.45,155
50,-2.4,55
51,-2.35,536
52,-2.3,62
53,-2.25,197
54,-2.2,280
55,-2.15,230
56,-2.1,1033
57,-2.05,195
58,-2.0,480
59,-1.95,204
60,-1.9,380
61,-1.85,1309
62,-1.8,254
63,-1.75,954
64,-1.7,453
65,-1.65,307
66,-1.6,2117
67,-1.55,195
68,-1.5,1302
69,-1.45,797
70,-1.4,759
71,-1.35,2148
72,-1.3,344
73,-1.25,1595
74,-1.2,1135
75,-1.15,910
76,-1.1,5555
77,-1.05,321
78,-1.0,2317
79,-0.95,699
80,-0.9,1278
81,-0.85,5975
82,-0.8,593
83,-0.75,2744
84,-0.7,2720
85,-0.65,1132
86,-0.6,9046
87,-0.55,1089
88,-0.5,5097
89,-0.45,1431
90,-0.4,947
91,-0.35,4942
92,-0.3,870
93,-0.25,2422
94,-0.2,2328
95,-0.15,699
96,-0.1,25124
97,-0.0500000000000001,28
98,-0.05,1159
99,-0.0499999999999999,3
100,-5.55111512312578e-17,3
101,-2.77555756156289e-17,1128
102,0.0,7969
103,2.77555756156289e-17,3
104,8.32667268468867e-17,15
105,1.11022302462516e-16,3
106,0.0499999999999999,7
107,0.05,1007
108,0.1,1068
109,0.15,5215
110,0.2,1762
111,0.25,1800
112,0.3,3381
113,0.35,454
114,0.4,7190
115,0.45,775
116,0.5,4198
117,0.55,1284
118,0.6,956
119,0.65,3505
120,0.7,4050
121,0.75,1269
122,0.8,1922
123,0.85,257
124,0.9,2673
125,0.95,565
126,1.0,1723
127,1.05,643
128,1.1,522
129,1.15,1793
130,1.2,737
131,1.25,495
132,1.3,700
133,1.35,185
134,1.4,777
135,1.45,478
136,1.5,537
137,1.55,174
138,1.6,175
139,1.65,295
140,1.7,272
141,1.75,178
142,1.8,166
143,1.85,63
144,1.9,237
145,1.95,341
146,2.0,315
147,2.05,74
148,2.1,81
149,2.15,73
150,2.2,88
151,2.25,53
152,2.3,60
153,2.35,19
154,2.4,89
155,2.45,53
156,2.5,70
157,2.55,19
158,2.6,12
159,2.65,16
160,2.7,22
161,2.75,11
162,2.8,7
163,2.85,13
164,2.9,10
165,2.95,8
166,3.0,6
167,3.05,19
168,3.1,1
169,3.15,3
170,3.2,8
171,3.25,6
172,3.3,4
173,3.35,2
174,3.45,1
175,3.5,1
176,3.55,1
177,3.6,2
178,3.65,2
179,3.7,1
180,3.75,3
181,3.8,15
182,3.95,1
183,4.0,2
